Vardas              Pavarde             Galutinis (Vid.)
Vardas81026         Pavarde81026        5.00
Vardas49686         Pavarde49686        5.00
Vardas83922         Pavarde83922        5.00
Vardas75651         Pavarde75651        5.00
Vardas57427         Pavarde57427        5.00
Vardas59033         Pavarde59033        5.00
Vardas28791         Pavarde28791        5.00
Vardas2490          Pavarde2490         5.00
Vardas65342         Pavarde65342        5.00
Vardas98712         Pavarde98712        5.00
Vardas98732         Pavarde98732        5.00
Vardas81271         Pavarde81271        5.00
Vardas15860         Pavarde15860        5.00
Vardas81292         Pavarde81292        5.00
Vardas64684         Pavarde64684        5.00
Vardas81376         Pavarde81376        5.00
Vardas81417         Pavarde81417        5.00
Vardas84992         Pavarde84992        5.00
Vardas81444         Pavarde81444        5.00
Vardas36644         Pavarde36644        5.00
Vardas5876          Pavarde5876         5.00
Vardas26824         Pavarde26824        5.00
Vardas81559         Pavarde81559        5.00
Vardas98859         Pavarde98859        5.00
Vardas81596         Pavarde81596        5.00
Vardas1881          Pavarde1881         5.00
Vardas6191          Pavarde6191         5.00
Vardas26474         Pavarde26474        5.00
Vardas1822          Pavarde1822         5.00
Vardas1769          Pavarde1769         5.00
Vardas80519         Pavarde80519        5.00
Vardas57573         Pavarde57573        5.00
Vardas1674          Pavarde1674         5.00
Vardas28428         Pavarde28428        5.00
Vardas26794         Pavarde26794        5.00
Vardas98965         Pavarde98965        5.00
Vardas1577          Pavarde1577         5.00
Vardas90874         Pavarde90874        5.00
Vardas26783         Pavarde26783        5.00
Vardas75765         Pavarde75765        5.00
Vardas75155         Pavarde75155        5.00
Vardas1502          Pavarde1502         5.00
Vardas24206         Pavarde24206        5.00
Vardas85313         Pavarde85313        5.00
Vardas41869         Pavarde41869        5.00
Vardas90948         Pavarde90948        5.00
Vardas82074         Pavarde82074        5.00
Vardas1291          Pavarde1291         5.00
Vardas8953          Pavarde8953         5.00
Vardas49494         Pavarde49494        5.00
Vardas26734         Pavarde26734        5.00
Vardas59085         Pavarde59085        5.00
Vardas67154         Pavarde67154        5.00
Vardas1142          Pavarde1142         5.00
Vardas82499         Pavarde82499        5.00
Vardas15658         Pavarde15658        5.00
Vardas757           Pavarde757          5.00
Vardas91784         Pavarde91784        5.00
Vardas751           Pavarde751          5.00
Vardas732           Pavarde732          5.00
Vardas77820         Pavarde77820        5.00
Vardas724           Pavarde724          5.00
Vardas708           Pavarde708          5.00
Vardas616           Pavarde616          5.00
Vardas84984         Pavarde84984        5.00
Vardas91096         Pavarde91096        5.00
Vardas525           Pavarde525          5.00
Vardas67369         Pavarde67369        5.00
Vardas61303         Pavarde61303        5.00
Vardas69144         Pavarde69144        5.00
Vardas488           Pavarde488          5.00
Vardas91162         Pavarde91162        5.00
Vardas45123         Pavarde45123        5.00
Vardas6068          Pavarde6068         5.00
Vardas67379         Pavarde67379        5.00
Vardas26685         Pavarde26685        5.00
Vardas61296         Pavarde61296        5.00
Vardas82875         Pavarde82875        5.00
Vardas75804         Pavarde75804        5.00
Vardas60538         Pavarde60538        5.00
Vardas91870         Pavarde91870        5.00
Vardas82937         Pavarde82937        5.00
Vardas62074         Pavarde62074        5.00
Vardas49450         Pavarde49450        5.00
Vardas83094         Pavarde83094        5.00
Vardas47836         Pavarde47836        5.00
Vardas6044          Pavarde6044         5.00
Vardas83503         Pavarde83503        5.00
Vardas99517         Pavarde99517        5.00
