Vardas              Pavarde             Galutinis (Vid.)
Vardas27180         Pavarde27180        5.00
Vardas49620         Pavarde49620        5.00
Vardas55983         Pavarde55983        5.00
Vardas14            Pavarde14           5.00
Vardas39797         Pavarde39797        5.00
Vardas95700         Pavarde95700        5.00
Vardas24207         Pavarde24207        5.00
Vardas69922         Pavarde69922        5.00
Vardas30290         Pavarde30290        5.00
Vardas36291         Pavarde36291        5.00
Vardas39816         Pavarde39816        5.00
Vardas37673         Pavarde37673        5.00
Vardas37675         Pavarde37675        5.00
Vardas85009         Pavarde85009        5.00
Vardas55919         Pavarde55919        5.00
Vardas56            Pavarde56           5.00
Vardas24172         Pavarde24172        5.00
Vardas83915         Pavarde83915        5.00
Vardas42224         Pavarde42224        5.00
Vardas55847         Pavarde55847        5.00
Vardas15972         Pavarde15972        5.00
Vardas24109         Pavarde24109        5.00
Vardas95559         Pavarde95559        5.00
Vardas58927         Pavarde58927        5.00
Vardas67808         Pavarde67808        5.00
Vardas49554         Pavarde49554        5.00
Vardas49551         Pavarde49551        5.00
Vardas39849         Pavarde39849        5.00
Vardas50983         Pavarde50983        5.00
Vardas99246         Pavarde99246        5.00
Vardas66325         Pavarde66325        5.00
Vardas50995         Pavarde50995        5.00
Vardas49227         Pavarde49227        5.00
Vardas3158          Pavarde3158         5.00
Vardas47464         Pavarde47464        5.00
Vardas56102         Pavarde56102        5.00
Vardas94475         Pavarde94475        5.00
Vardas33467         Pavarde33467        5.00
Vardas74120         Pavarde74120        5.00
Vardas35541         Pavarde35541        5.00
Vardas20597         Pavarde20597        5.00
Vardas13910         Pavarde13910        5.00
Vardas75744         Pavarde75744        5.00
Vardas90169         Pavarde90169        5.00
Vardas63105         Pavarde63105        5.00
Vardas82011         Pavarde82011        5.00
Vardas55710         Pavarde55710        5.00
Vardas81127         Pavarde81127        5.00
Vardas19892         Pavarde19892        5.00
Vardas58976         Pavarde58976        5.00
Vardas35193         Pavarde35193        5.00
Vardas56166         Pavarde56166        5.00
Vardas66354         Pavarde66354        5.00
Vardas80970         Pavarde80970        5.00
Vardas69085         Pavarde69085        5.00
Vardas6924          Pavarde6924         5.00
