Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     Egz
Vardas1             Pavarde1            6       3       3       5       7       4
Vardas2             Pavarde2            5       6       8       1       4       4
Vardas3             Pavarde3            10      9       6       6       3       2
Vardas4             Pavarde4            5       2       8       5       2       8
Vardas5             Pavarde5            7       9       5       9       8       8
Vardas6             Pavarde6            3       8       5       1       1       10
Vardas7             Pavarde7            6       3       7       10      3       7
Vardas8             Pavarde8            1       8       7       3       1       9
Vardas9             Pavarde9            8       7       4       8       1       2
Vardas10            Pavarde10           9       9       10      10      8       5
Vardas11            Pavarde11           4       5       10      7       6       3
Vardas12            Pavarde12           8       5       4       7       8       1
Vardas13            Pavarde13           9       5       1       2       6       6
Vardas14            Pavarde14           2       9       1       3       10      5
Vardas15            Pavarde15           1       1       8       6       3       10
Vardas16            Pavarde16           1       7       2       3       3       5
Vardas17            Pavarde17           1       7       7       9       5       1
Vardas18            Pavarde18           10      3       10      9       9       6
Vardas19            Pavarde19           4       6       5       7       5       6
Vardas20            Pavarde20           8       10      2       7       10      1
Vardas21            Pavarde21           3       1       10      6       8       10
Vardas22            Pavarde22           5       7       7       3       9       3
Vardas23            Pavarde23           4       3       9       3       2       2
Vardas24            Pavarde24           8       3       5       7       8       9
Vardas25            Pavarde25           10      9       9       9       6       6
Vardas26            Pavarde26           3       10      9       9       6       9
Vardas27            Pavarde27           10      9       8       6       1       4
Vardas28            Pavarde28           7       7       10      4       7       6
Vardas29            Pavarde29           7       9       5       9       4       2
Vardas30            Pavarde30           10      4       3       2       8       7
Vardas31            Pavarde31           4       2       9       4       4       3
Vardas32            Pavarde32           8       1       7       7       6       3
Vardas33            Pavarde33           5       2       8       2       9       10
Vardas34            Pavarde34           2       1       9       10      9       2
Vardas35            Pavarde35           4       6       6       8       6       2
Vardas36            Pavarde36           2       9       3       5       5       7
Vardas37            Pavarde37           2       5       8       5       4       4
Vardas38            Pavarde38           5       9       2       2       8       10
Vardas39            Pavarde39           4       5       5       3       2       10
Vardas40            Pavarde40           8       1       3       7       10      6
Vardas41            Pavarde41           10      6       10      1       5       5
Vardas42            Pavarde42           3       2       9       10      6       1
Vardas43            Pavarde43           4       3       5       6       2       2
Vardas44            Pavarde44           1       5       2       1       5       2
Vardas45            Pavarde45           7       5       8       1       8       6
Vardas46            Pavarde46           10      5       8       6       1       7
Vardas47            Pavarde47           7       4       4       8       7       7
Vardas48            Pavarde48           3       6       5       10      2       1
Vardas49            Pavarde49           4       9       4       8       7       6
Vardas50            Pavarde50           4       9       7       1       10      3
Vardas51            Pavarde51           1       7       4       7       2       3
Vardas52            Pavarde52           3       8       6       4       8       6
Vardas53            Pavarde53           8       10      1       3       2       1
Vardas54            Pavarde54           2       5       9       1       5       8
Vardas55            Pavarde55           10      1       4       2       3       6
Vardas56            Pavarde56           1       10      3       8       3       5
Vardas57            Pavarde57           9       10      6       8       2       10
Vardas58            Pavarde58           5       3       10      5       8       5
