Vardas              Pavarde             Galutinis (Vid.)
Vardas17625         Pavarde17625        1.08
Vardas26361         Pavarde26361        1.16
Vardas33562         Pavarde33562        1.24
Vardas51571         Pavarde51571        1.24
Vardas20603         Pavarde20603        1.24
Vardas77382         Pavarde77382        1.32
Vardas35201         Pavarde35201        1.32
Vardas30937         Pavarde30937        1.32
Vardas87803         Pavarde87803        1.32
Vardas57550         Pavarde57550        1.32
Vardas21629         Pavarde21629        1.32
Vardas94410         Pavarde94410        1.32
Vardas37134         Pavarde37134        1.32
Vardas89233         Pavarde89233        1.40
Vardas54917         Pavarde54917        1.40
Vardas384           Pavarde384          1.40
Vardas1649          Pavarde1649         1.40
Vardas19248         Pavarde19248        1.40
Vardas42469         Pavarde42469        1.40
Vardas60540         Pavarde60540        1.40
Vardas83603         Pavarde83603        1.40
Vardas68493         Pavarde68493        1.40
Vardas66579         Pavarde66579        1.40
Vardas64888         Pavarde64888        1.40
Vardas65627         Pavarde65627        1.40
Vardas9416          Pavarde9416         1.40
Vardas35909         Pavarde35909        1.40
Vardas50429         Pavarde50429        1.40
Vardas61335         Pavarde61335        1.40
Vardas50841         Pavarde50841        1.40
Vardas23458         Pavarde23458        1.48
Vardas11272         Pavarde11272        1.48
Vardas9117          Pavarde9117         1.48
Vardas33532         Pavarde33532        1.48
Vardas20073         Pavarde20073        1.48
Vardas12286         Pavarde12286        1.48
Vardas50827         Pavarde50827        1.48
Vardas85416         Pavarde85416        1.48
Vardas63300         Pavarde63300        1.48
Vardas80090         Pavarde80090        1.48
Vardas17603         Pavarde17603        1.48
Vardas35702         Pavarde35702        1.48
Vardas77018         Pavarde77018        1.48
Vardas51047         Pavarde51047        1.48
Vardas5661          Pavarde5661         1.48
Vardas39138         Pavarde39138        1.48
Vardas34772         Pavarde34772        1.48
Vardas20786         Pavarde20786        1.48
Vardas5081          Pavarde5081         1.48
Vardas84467         Pavarde84467        1.56
Vardas74143         Pavarde74143        1.56
Vardas38776         Pavarde38776        1.56
Vardas20865         Pavarde20865        1.56
Vardas65894         Pavarde65894        1.56
Vardas16631         Pavarde16631        1.56
Vardas92708         Pavarde92708        1.56
Vardas18418         Pavarde18418        1.56
Vardas69218         Pavarde69218        1.56
Vardas25219         Pavarde25219        1.56
Vardas63074         Pavarde63074        1.56
Vardas24654         Pavarde24654        1.56
Vardas83181         Pavarde83181        1.56
Vardas76005         Pavarde76005        1.56
Vardas66087         Pavarde66087        1.56
Vardas42380         Pavarde42380        1.56
Vardas30824         Pavarde30824        1.56
Vardas52106         Pavarde52106        1.56
Vardas72905         Pavarde72905        1.56
Vardas55633         Pavarde55633        1.56
Vardas97758         Pavarde97758        1.56
Vardas8045          Pavarde8045         1.60
Vardas30138         Pavarde30138        1.64
Vardas44123         Pavarde44123        1.64
Vardas85324         Pavarde85324        1.64
Vardas85926         Pavarde85926        1.64
Vardas87431         Pavarde87431        1.64
Vardas49539         Pavarde49539        1.64
Vardas78525         Pavarde78525        1.64
Vardas39790         Pavarde39790        1.64
Vardas60402         Pavarde60402        1.64
Vardas64997         Pavarde64997        1.64
Vardas37682         Pavarde37682        1.64
Vardas20962         Pavarde20962        1.64
Vardas52775         Pavarde52775        1.64
Vardas9710          Pavarde9710         1.64
Vardas38079         Pavarde38079        1.64
Vardas1701          Pavarde1701         1.64
Vardas63183         Pavarde63183        1.64
Vardas44360         Pavarde44360        1.64
Vardas4849          Pavarde4849         1.64
Vardas2453          Pavarde2453         1.64
Vardas28221         Pavarde28221        1.64
Vardas88640         Pavarde88640        1.64
Vardas56674         Pavarde56674        1.64
Vardas65874         Pavarde65874        1.64
Vardas14117         Pavarde14117        1.64
Vardas98068         Pavarde98068        1.64
Vardas47141         Pavarde47141        1.64
Vardas47705         Pavarde47705        1.64
Vardas54930         Pavarde54930        1.64
Vardas25555         Pavarde25555        1.64
Vardas33018         Pavarde33018        1.64
Vardas31442         Pavarde31442        1.64
Vardas48892         Pavarde48892        1.64
Vardas52544         Pavarde52544        1.64
Vardas86551         Pavarde86551        1.64
Vardas78289         Pavarde78289        1.64
Vardas24896         Pavarde24896        1.64
Vardas11276         Pavarde11276        1.64
Vardas3825          Pavarde3825         1.64
Vardas88325         Pavarde88325        1.64
Vardas90488         Pavarde90488        1.68
Vardas45905         Pavarde45905        1.72
Vardas27607         Pavarde27607        1.72
Vardas32082         Pavarde32082        1.72
Vardas28712         Pavarde28712        1.72
Vardas44787         Pavarde44787        1.72
Vardas20742         Pavarde20742        1.72
Vardas88179         Pavarde88179        1.72
Vardas13208         Pavarde13208        1.72
Vardas68787         Pavarde68787        1.72
Vardas78669         Pavarde78669        1.72
Vardas1211          Pavarde1211         1.72
Vardas16930         Pavarde16930        1.72
Vardas60077         Pavarde60077        1.72
Vardas87368         Pavarde87368        1.72
Vardas18909         Pavarde18909        1.72
Vardas96337         Pavarde96337        1.72
Vardas19537         Pavarde19537        1.72
Vardas61862         Pavarde61862        1.72
Vardas50588         Pavarde50588        1.72
Vardas66615         Pavarde66615        1.72
Vardas15573         Pavarde15573        1.72
Vardas57742         Pavarde57742        1.72
Vardas24966         Pavarde24966        1.72
Vardas20675         Pavarde20675        1.72
Vardas87388         Pavarde87388        1.72
Vardas97977         Pavarde97977        1.72
Vardas56813         Pavarde56813        1.72
Vardas53072         Pavarde53072        1.72
Vardas4430          Pavarde4430         1.72
Vardas80888         Pavarde80888        1.72
Vardas37831         Pavarde37831        1.72
Vardas80973         Pavarde80973        1.72
Vardas5056          Pavarde5056         1.72
Vardas70158         Pavarde70158        1.72
Vardas62201         Pavarde62201        1.72
Vardas55455         Pavarde55455        1.72
Vardas30303         Pavarde30303        1.72
Vardas42920         Pavarde42920        1.72
Vardas35047         Pavarde35047        1.72
Vardas24473         Pavarde24473        1.72
Vardas79278         Pavarde79278        1.72
Vardas26639         Pavarde26639        1.72
Vardas18540         Pavarde18540        1.72
Vardas27031         Pavarde27031        1.72
Vardas32697         Pavarde32697        1.72
Vardas94635         Pavarde94635        1.72
Vardas14267         Pavarde14267        1.72
Vardas41435         Pavarde41435        1.72
Vardas57391         Pavarde57391        1.72
Vardas92108         Pavarde92108        1.72
Vardas14177         Pavarde14177        1.72
Vardas15452         Pavarde15452        1.72
Vardas82790         Pavarde82790        1.72
Vardas9439          Pavarde9439         1.72
Vardas32614         Pavarde32614        1.72
Vardas43944         Pavarde43944        1.72
Vardas61746         Pavarde61746        1.72
Vardas96981         Pavarde96981        1.72
Vardas48492         Pavarde48492        1.72
Vardas5484          Pavarde5484         1.72
Vardas70937         Pavarde70937        1.72
Vardas12055         Pavarde12055        1.72
Vardas44629         Pavarde44629        1.72
Vardas47594         Pavarde47594        1.72
Vardas29516         Pavarde29516        1.72
Vardas29000         Pavarde29000        1.72
Vardas88107         Pavarde88107        1.72
Vardas43341         Pavarde43341        1.72
Vardas68172         Pavarde68172        1.72
Vardas2086          Pavarde2086         1.72
Vardas63831         Pavarde63831        1.72
Vardas5231          Pavarde5231         1.72
Vardas14046         Pavarde14046        1.72
Vardas79213         Pavarde79213        1.72
Vardas33325         Pavarde33325        1.72
Vardas63594         Pavarde63594        1.72
Vardas24352         Pavarde24352        1.72
Vardas9011          Pavarde9011         1.72
Vardas50499         Pavarde50499        1.72
Vardas11972         Pavarde11972        1.72
Vardas13369         Pavarde13369        1.72
Vardas8343          Pavarde8343         1.72
Vardas37063         Pavarde37063        1.72
Vardas71815         Pavarde71815        1.76
Vardas12498         Pavarde12498        1.76
Vardas1708          Pavarde1708         1.76
Vardas19411         Pavarde19411        1.76
Vardas15253         Pavarde15253        1.80
Vardas52464         Pavarde52464        1.80
Vardas27606         Pavarde27606        1.80
Vardas15218         Pavarde15218        1.80
Vardas42446         Pavarde42446        1.80
Vardas91292         Pavarde91292        1.80
Vardas4217          Pavarde4217         1.80
Vardas29892         Pavarde29892        1.80
Vardas82675         Pavarde82675        1.80
Vardas35569         Pavarde35569        1.80
Vardas56680         Pavarde56680        1.80
Vardas59702         Pavarde59702        1.80
Vardas80118         Pavarde80118        1.80
Vardas12197         Pavarde12197        1.80
Vardas49679         Pavarde49679        1.80
Vardas23501         Pavarde23501        1.80
Vardas25778         Pavarde25778        1.80
Vardas53404         Pavarde53404        1.80
Vardas74376         Pavarde74376        1.80
Vardas29566         Pavarde29566        1.80
Vardas86976         Pavarde86976        1.80
Vardas67706         Pavarde67706        1.80
Vardas72353         Pavarde72353        1.80
Vardas52950         Pavarde52950        1.80
Vardas90993         Pavarde90993        1.80
Vardas17837         Pavarde17837        1.80
Vardas18813         Pavarde18813        1.80
Vardas51800         Pavarde51800        1.80
Vardas31710         Pavarde31710        1.80
Vardas80276         Pavarde80276        1.80
Vardas12282         Pavarde12282        1.80
Vardas26742         Pavarde26742        1.80
Vardas89867         Pavarde89867        1.80
Vardas27588         Pavarde27588        1.80
Vardas28399         Pavarde28399        1.80
Vardas25412         Pavarde25412        1.80
Vardas40713         Pavarde40713        1.80
Vardas18580         Pavarde18580        1.80
Vardas87169         Pavarde87169        1.80
Vardas79147         Pavarde79147        1.80
Vardas55929         Pavarde55929        1.80
Vardas87694         Pavarde87694        1.80
Vardas18444         Pavarde18444        1.80
Vardas61806         Pavarde61806        1.80
Vardas32031         Pavarde32031        1.80
Vardas40232         Pavarde40232        1.80
Vardas86520         Pavarde86520        1.80
Vardas91327         Pavarde91327        1.80
Vardas68898         Pavarde68898        1.80
Vardas67705         Pavarde67705        1.80
Vardas40521         Pavarde40521        1.80
Vardas63888         Pavarde63888        1.80
Vardas67917         Pavarde67917        1.80
Vardas57415         Pavarde57415        1.80
Vardas3886          Pavarde3886         1.80
Vardas81200         Pavarde81200        1.80
Vardas29562         Pavarde29562        1.80
Vardas28425         Pavarde28425        1.80
Vardas95754         Pavarde95754        1.80
Vardas24427         Pavarde24427        1.80
Vardas48333         Pavarde48333        1.80
Vardas5776          Pavarde5776         1.80
Vardas82157         Pavarde82157        1.80
Vardas74030         Pavarde74030        1.80
Vardas33            Pavarde33           1.80
Vardas56849         Pavarde56849        1.80
Vardas48990         Pavarde48990        1.80
Vardas30315         Pavarde30315        1.80
Vardas81752         Pavarde81752        1.80
Vardas84862         Pavarde84862        1.80
Vardas84827         Pavarde84827        1.80
Vardas42765         Pavarde42765        1.80
Vardas11759         Pavarde11759        1.80
Vardas22460         Pavarde22460        1.80
Vardas85071         Pavarde85071        1.80
Vardas33644         Pavarde33644        1.80
Vardas88822         Pavarde88822        1.80
Vardas75365         Pavarde75365        1.80
Vardas75236         Pavarde75236        1.80
Vardas18791         Pavarde18791        1.80
Vardas83893         Pavarde83893        1.80
Vardas73845         Pavarde73845        1.80
Vardas86824         Pavarde86824        1.80
Vardas34015         Pavarde34015        1.80
Vardas67400         Pavarde67400        1.80
Vardas77601         Pavarde77601        1.80
Vardas90498         Pavarde90498        1.80
Vardas48777         Pavarde48777        1.80
Vardas51566         Pavarde51566        1.80
Vardas54627         Pavarde54627        1.80
Vardas55494         Pavarde55494        1.80
Vardas63725         Pavarde63725        1.80
Vardas73399         Pavarde73399        1.80
Vardas69944         Pavarde69944        1.84
Vardas9673          Pavarde9673         1.84
Vardas98372         Pavarde98372        1.84
Vardas71009         Pavarde71009        1.88
Vardas24318         Pavarde24318        1.88
Vardas66225         Pavarde66225        1.88
