Vardas              Pavarde             Galutinis (Vid.)
Vardas12748         Pavarde12748        1.16
Vardas19139         Pavarde19139        1.24
Vardas29516         Pavarde29516        1.24
Vardas43352         Pavarde43352        1.24
Vardas34237         Pavarde34237        1.24
Vardas91665         Pavarde91665        1.32
Vardas83425         Pavarde83425        1.32
Vardas74303         Pavarde74303        1.32
Vardas67648         Pavarde67648        1.32
Vardas24735         Pavarde24735        1.32
Vardas90512         Pavarde90512        1.32
Vardas12018         Pavarde12018        1.32
Vardas20187         Pavarde20187        1.40
Vardas23101         Pavarde23101        1.40
Vardas82498         Pavarde82498        1.40
Vardas32175         Pavarde32175        1.40
Vardas1614          Pavarde1614         1.40
Vardas95380         Pavarde95380        1.40
Vardas74000         Pavarde74000        1.40
Vardas20282         Pavarde20282        1.40
Vardas53652         Pavarde53652        1.40
Vardas31238         Pavarde31238        1.40
Vardas39016         Pavarde39016        1.40
Vardas43015         Pavarde43015        1.40
Vardas93283         Pavarde93283        1.40
Vardas8823          Pavarde8823         1.40
Vardas40340         Pavarde40340        1.40
Vardas87215         Pavarde87215        1.40
Vardas49489         Pavarde49489        1.40
Vardas14964         Pavarde14964        1.40
Vardas95357         Pavarde95357        1.48
Vardas98602         Pavarde98602        1.48
Vardas63138         Pavarde63138        1.48
Vardas27307         Pavarde27307        1.48
Vardas70545         Pavarde70545        1.48
Vardas18426         Pavarde18426        1.48
Vardas85506         Pavarde85506        1.48
Vardas54143         Pavarde54143        1.48
Vardas29484         Pavarde29484        1.48
Vardas96288         Pavarde96288        1.48
Vardas21633         Pavarde21633        1.48
Vardas28699         Pavarde28699        1.48
Vardas1162          Pavarde1162         1.48
Vardas56653         Pavarde56653        1.48
Vardas58882         Pavarde58882        1.48
Vardas99565         Pavarde99565        1.48
Vardas23206         Pavarde23206        1.48
Vardas3196          Pavarde3196         1.48
Vardas2955          Pavarde2955         1.48
Vardas29026         Pavarde29026        1.56
Vardas16260         Pavarde16260        1.56
Vardas27518         Pavarde27518        1.56
Vardas14825         Pavarde14825        1.56
Vardas99307         Pavarde99307        1.56
Vardas95858         Pavarde95858        1.56
Vardas29965         Pavarde29965        1.56
Vardas39146         Pavarde39146        1.56
Vardas73706         Pavarde73706        1.56
Vardas30055         Pavarde30055        1.56
Vardas90141         Pavarde90141        1.56
Vardas63490         Pavarde63490        1.56
Vardas79272         Pavarde79272        1.56
Vardas7838          Pavarde7838         1.56
Vardas68104         Pavarde68104        1.56
Vardas86725         Pavarde86725        1.56
Vardas14817         Pavarde14817        1.56
Vardas13413         Pavarde13413        1.56
